well_id,ym,qgi_Mscfd,qo_STBd,qw_STBd,water_cut_frac,Pres_psi,GOR_scfSTB,Pwh_psi,Pbh_psi,glift_eff,mix_dens_lbft3,depth_ft,perm_mD,API_gravity,visc_cp
ND-001,2020-01,117.65870967741935,264.97096774193545,216.33870967741936,0.4505096774193548,2842.867741935484,625.8709677419354,142.958064516129,2672.2999999999997,2.2516129032258063,57.57677419354839,9205.9,288.7,28.77,1.743
ND-001,2020-02,105.67862068965518,233.56896551724142,237.74137931034485,0.5047241379310344,2835.8896551724133,622.8896551724139,142.8344827586207,2665.731034482758,2.210137931034483,58.089999999999996,9228.0,288.1,28.68,1.918
ND-001,2020-03,98.81677419354841,203.22903225806456,249.60967741935485,0.5502774193548386,2837.4225806451614,625.6064516129031,141.18709677419355,2667.187096774194,2.0597741935483875,58.50322580645162,9201.5,282.7,28.57,1.814
ND-001,2020-04,116.10899999999998,189.54666666666665,268.15000000000003,0.58566,2834.32,624.3299999999999,142.0733333333333,2664.2633333333333,1.6334666666666668,58.757333333333335,9215.2,282.0,28.69,1.793
ND-001,2020-05,32.21870967741935,83.8677419354839,135.3193548387097,0.6210935483870967,2823.706451612904,623.4709677419355,118.34838709677422,2654.2870967741933,2.666548387096774,59.26354838709678,9197.8,286.6,28.47,1.93
ND-001,2020-06,17.689,48.63333333333334,91.26999999999998,0.6508666666666667,2823.526666666667,623.8633333333332,112.19,2654.0899999999992,2.9778,59.52833333333332,9225.9,286.1,28.29,1.931
ND-001,2020-07,28.445161290322584,65.51290322580645,132.39999999999998,0.6700612903225808,2817.245161290322,621.9032258064516,116.39677419354841,2648.193548387097,2.3676774193548384,59.6816129032258,9218.1,284.8,28.46,1.848
ND-001,2020-08,15.0,38.97096774193548,85.78064516129031,0.6900193548387096,2815.3580645161287,623.4129032258065,110.0483870967742,2646.425806451613,2.597935483870968,59.847096774193545,9224.9,280.8,28.34,1.848
ND-001,2020-09,16.750999999999998,39.23666666666667,92.13000000000001,0.7004200000000002,2812.1833333333334,622.7333333333332,111.70666666666668,2643.453333333333,2.365066666666666,59.972333333333346,9210.7,288.2,28.64,1.882
ND-001,2020-10,25.772580645161284,51.69032258064516,130.2064516129032,0.7165838709677418,2797.790322580646,619.8516129032257,115.81935483870966,2629.9129032258065,1.874225806451613,60.100322580645155,9189.0,283.2,28.55,1.888
ND-001,2020-11,15.0,33.38999999999999,86.67,0.7234233333333334,2802.156666666667,628.09,120.02666666666669,2634.0299999999997,2.2261666666666664,60.13266666666667,9205.7,289.9,28.46,1.873
ND-001,2020-12,19.96258064516129,34.938709677419354,97.69354838709675,0.7377387096774194,2800.6258064516132,624.1419354838711,118.49032258064518,2632.5870967741935,1.8714193548387097,60.2616129032258,9214.3,289.6,28.76,1.743
ND-001,2021-01,112.82451612903226,103.71935483870966,299.4419354838709,0.7430935483870967,2793.951612903226,635.5354838709676,141.1645161290323,2626.3161290322582,0.9227096774193546,60.077741935483864,9206.5,288.8,28.47,1.817
ND-001,2021-02,119.66750000000002,98.91428571428571,297.22142857142853,0.7497035714285712,2791.296428571429,621.7714285714285,143.18571428571428,2623.8,0.828392857142857,60.12928571428571,9210.2,292.3,28.6,1.788
ND-001,2021-03,124.08129032258061,96.45161290322582,299.3354838709677,0.7551548387096774,2786.087096774194,624.2032258064517,143.0709677419355,2618.9322580645157,0.7820645161290324,60.16322580645162,9194.7,286.9,28.42,1.847
ND-001,2021-04,90.59200000000001,86.56666666666666,275.9066666666667,0.76071,2781.8766666666675,620.2366666666668,137.1533333333333,2614.97,0.9208999999999999,60.312333333333335,9196.3,287.3,28.18,1.887
ND-001,2021-05,29.3041935483871,41.103225806451604,134.19032258064516,0.7634967741935483,2786.5354838709677,621.6774193548385,114.93870967741935,2619.3387096774195,1.4503225806451612,60.48774193548387,9217.9,275.2,28.26,1.972
ND-001,2021-06,17.284666666666666,27.963333333333335,87.74,0.76182,2773.2233333333334,630.4866666666668,112.12999999999997,2606.8233333333333,1.6479333333333333,60.447,9211.1,286.7,28.11,1.802
ND-001,2021-07,27.729354838709675,38.29032258064515,124.59354838709676,0.7692000000000002,2769.1709677419362,625.9000000000001,114.55483870967741,2603.009677419355,1.509483870967742,60.478387096774206,9219.1,276.8,28.58,1.945
ND-001,2021-08,14.516129032258064,24.290322580645157,80.90645161290323,0.7692483870967741,2766.4129032258056,626.9935483870969,111.44193548387099,2600.435483870968,1.586290322580645,60.529999999999994,9204.5,284.7,28.67,1.794
ND-001,2021-09,19.621333333333332,27.966666666666672,91.66333333333334,0.7686066666666667,2762.2266666666674,618.44,112.99,2596.4999999999995,1.5587333333333335,60.50866666666666,9211.2,283.7,28.18,1.806
ND-001,2021-10,27.482258064516127,36.41612903225807,120.73225806451613,0.7710870967741935,2759.477419354838,623.4774193548387,115.1193548387097,2593.909677419355,1.433,60.507096774193556,9221.1,291.9,28.2,1.952
ND-001,2021-11,15.0,23.006666666666664,79.58666666666666,0.77599,2752.8933333333343,625.3766666666668,119.71333333333334,2587.716666666667,1.5338666666666667,60.57500000000001,9224.8,276.1,28.52,1.839
ND-001,2021-12,20.076451612903227,25.738709677419354,88.65806451612902,0.7760516129032259,2755.558064516129,618.990322580645,119.93548387096776,2590.222580645161,1.4095483870967744,60.572580645161295,9219.2,288.3,28.53,1.805
ND-001,2022-01,112.78064516129034,75.8483870967742,259.67096774193556,0.7731580645161288,2745.1322580645156,624.451612903226,139.9903225806451,2580.429032258065,0.6504516129032257,60.294193548387106,9196.7,288.1,28.54,1.908
ND-001,2022-02,110.69749999999999,73.36785714285715,255.17142857142855,0.7762214285714286,2744.1035714285717,625.1428571428572,137.25357142857146,2579.4571428571426,0.6350714285714286,60.320357142857134,9215.0,288.7,28.71,1.915
ND-001,2022-03,117.11612903225806,73.15483870967743,252.8935483870968,0.7755516129032257,2739.8129032258057,626.7032258064517,139.78064516129032,2575.432258064516,0.6041612903225806,60.27387096774193,9202.3,278.8,28.31,1.881
ND-001,2022-04,79.10333333333334,64.82666666666668,228.53333333333327,0.77871,2736.063333333334,625.6066666666667,134.17333333333335,2571.9033333333336,0.7559666666666669,60.44266666666665,9205.6,291.5,28.65,1.946
ND-001,2022-05,27.410322580645158,31.91612903225806,113.27096774193548,0.7810290322580644,2730.3129032258066,624.3903225806451,116.16129032258063,2566.503225806452,1.2113225806451609,60.588064516129016,9215.7,289.9,28.34,1.917
ND-001,2022-06,17.314333333333334,22.220000000000002,77.75999999999999,0.77764,2721.48,625.3033333333333,110.20333333333333,2558.186666666667,1.3583999999999998,60.553,9210.8,284.2,28.52,1.763
ND-001,2022-07,27.126129032258063,31.61290322580646,111.13225806451612,0.7774967741935482,2729.158064516129,629.3838709677419,115.00645161290323,2565.4129032258056,1.1474516129032257,60.54516129032258,9214.9,283.0,28.74,2.051
